ID,性别,年龄,职业,征信是否逾期,工资,婚否,购房所属套数,首付款比例,收入支出比例,拟购房面积,贷款期限,是否贷款
232,1,0,1,0,2,1,0,0,2,1,0,1
233,1,1,1,0,1,1,0,0,0,0,0,1
234,1,1,1,0,4,1,0,2,0,2,0,1
235,1,1,1,0,0,1,0,4,3,2,1,1
236,0,2,1,0,3,2,0,1,2,0,4,0
237,1,1,1,0,4,1,0,3,0,3,3,1
238,1,1,1,0,2,1,0,1,0,1,4,1
239,0,2,1,0,2,1,0,0,2,1,4,1
240,0,1,1,1,2,1,0,3,1,0,3,0
241,1,1,1,0,4,1,0,4,3,3,3,1
242,0,2,1,0,2,1,0,3,0,2,2,1
243,1,0,1,0,0,1,0,4,2,3,0,1
244,0,3,1,0,1,2,0,1,3,3,4,1
245,1,1,1,0,2,1,0,4,2,3,0,1
246,0,1,1,0,0,1,0,0,1,1,3,1
247,0,2,1,1,1,1,0,4,2,3,0,1
248,0,0,1,0,3,1,0,0,3,0,4,1
249,1,2,1,0,2,1,0,4,1,1,0,1
250,1,1,1,0,3,1,0,0,3,2,0,1
251,0,0,1,0,4,1,1,4,3,2,0,1
252,0,1,1,0,3,2,0,2,0,0,4,1
253,1,3,1,0,2,1,0,4,0,0,0,1
254,1,2,0,0,4,2,0,0,2,1,0,0
255,0,3,1,0,2,1,0,0,0,0,3,1
256,0,1,1,1,4,1,0,2,0,2,0,1
257,0,0,1,0,2,1,0,0,1,3,0,1
258,0,1,1,0,2,2,0,4,2,3,0,1
259,1,1,1,1,4,1,0,1,2,3,4,0
260,1,1,1,0,1,1,0,0,1,3,2,1
261,1,0,1,0,4,1,0,3,0,2,4,1
262,1,0,0,0,3,1,0,2,0,2,3,0
263,1,1,1,0,1,1,0,0,1,3,0,1
264,0,0,1,0,2,1,0,2,0,3,4,1
265,0,0,0,0,4,1,0,0,1,3,0,1
266,0,0,0,0,4,1,0,4,0,0,1,1
267,1,0,0,0,4,1,0,1,3,0,0,1
268,1,2,0,0,3,2,0,0,1,3,0,1
269,1,0,0,0,1,1,0,4,2,3,0,1
270,1,0,0,0,2,1,0,3,3,0,0,1
271,1,0,0,0,3,2,0,1,2,3,4,1
272,1,1,0,1,2,1,0,0,1,3,0,0
273,0,0,0,0,1,1,0,4,2,3,0,1
274,0,0,0,0,1,1,0,0,3,0,0,1
275,1,0,0,0,3,1,0,2,2,0,4,1
276,1,0,0,0,0,1,0,1,0,3,3,0
279,0,2,0,0,0,1,0,0,3,0,2,0
281,0,2,0,0,0,2,0,0,1,0,4,0
282,0,2,0,0,1,1,0,1,3,0,3,1
283,1,0,1,0,0,1,0,0,1,3,4,1
284,1,2,1,0,1,1,0,4,2,3,4,1
285,1,1,1,0,0,1,0,0,3,3,3,1
287,0,0,1,0,0,1,0,3,3,0,3,0
289,0,1,0,0,1,1,1,4,3,2,0,1
290,1,1,0,0,0,1,0,1,0,2,0,1
291,1,1,0,0,1,1,0,4,1,1,3,1
292,0,3,0,1,3,1,0,0,3,2,0,1
293,1,0,0,0,3,1,1,4,3,2,3,1
294,1,0,0,1,4,2,0,4,3,2,4,0
295,1,3,0,0,0,1,0,0,3,2,0,1
296,1,0,0,0,3,1,0,1,1,2,0,1
297,0,1,0,0,3,1,0,4,0,2,2,1
298,1,2,0,0,4,2,0,2,0,0,1,1
299,1,2,0,0,1,1,0,1,0,2,0,1
300,1,2,1,0,1,1,0,1,0,2,0,1
301,1,1,0,0,1,1,0,3,1,1,2,0
302,1,1,1,0,2,1,0,1,1,3,0,1
303,1,2,1,0,2,1,0,0,2,2,4,1
304,0,2,1,0,4,1,0,0,3,2,0,1
305,0,1,1,0,0,1,0,1,1,2,0,1
306,0,2,1,0,1,1,0,2,3,1,4,1
307,1,0,1,0,4,2,0,3,2,3,2,1
309,1,1,0,0,1,1,0,1,2,0,4,0
310,1,0,1,0,3,1,0,0,1,1,4,1
311,1,0,1,0,3,1,0,0,0,2,0,1
312,0,0,0,0,4,1,0,4,2,3,1,1
313,1,1,0,0,1,1,0,2,0,0,4,1
314,0,2,0,0,1,1,1,4,3,0,1,1
315,0,0,0,0,4,1,0,3,1,2,4,1
316,0,1,1,0,4,1,0,3,0,2,3,1
317,1,3,1,1,3,1,0,2,1,2,0,0
318,1,0,0,0,3,2,0,4,2,3,0,0
319,0,1,1,0,0,2,1,4,0,2,2,0
320,1,1,1,0,1,1,0,0,2,3,0,1
321,0,2,1,0,1,1,0,3,3,1,4,1
322,0,1,1,1,0,1,0,4,0,2,0,0
323,1,1,0,0,1,2,0,3,0,2,0,1
324,1,0,0,0,1,1,0,1,0,2,3,1
325,1,1,0,0,0,1,0,0,2,3,4,0
326,1,1,0,0,3,1,0,3,3,1,0,1
327,1,1,0,0,0,2,0,2,0,3,3,0
328,1,2,1,0,0,1,0,3,2,1,3,1
329,0,1,0,0,3,1,0,3,1,2,3,1
330,1,1,0,0,1,1,0,0,3,3,3,1
331,1,2,0,1,2,1,0,0,3,3,2,0
332,0,1,0,0,1,1,0,0,0,0,4,1
333,1,1,0,0,4,1,0,1,3,3,3,1
334,1,2,0,0,2,1,0,2,0,2,3,1
335,1,0,0,0,0,1,0,0,2,3,0,0
336,0,3,0,0,0,1,0,3,3,1,0,0
337,0,1,1,0,1,1,0,3,1,1,3,1
338,0,1,0,0,1,1,0,2,0,3,0,1
339,1,2,0,0,1,2,0,3,2,1,0,0
340,1,0,0,1,3,1,0,1,0,1,4,0
341,1,2,0,1,4,1,0,0,2,3,0,0
342,1,1,0,0,2,1,0,0,3,3,1,1
343,0,0,0,0,3,1,0,4,3,3,0,1
344,1,1,0,0,1,1,0,1,0,1,3,1
345,1,3,1,0,2,1,1,4,0,2,0,1
346,0,2,0,0,3,1,0,1,1,1,3,1
347,1,3,1,0,0,1,0,2,0,2,0,1
348,0,1,0,0,3,1,0,0,2,3,0,1
349,0,0,0,0,2,2,0,0,3,0,3,0
350,1,1,1,0,2,1,0,0,3,3,0,1
351,1,1,0,0,4,1,0,0,3,3,0,1
352,1,1,1,0,0,1,0,3,0,1,4,1
353,1,0,0,0,4,1,1,4,0,3,0,1
354,1,0,0,0,3,1,0,2,3,1,2,1
355,1,1,0,0,1,2,0,3,3,2,2,0
356,1,0,0,0,2,1,0,3,3,0,4,1
357,1,0,0,1,4,1,0,2,0,1,3,0
358,1,0,0,0,4,2,0,2,0,3,0,1
359,1,0,0,0,4,2,0,3,2,1,0,1
360,1,2,0,0,2,1,0,1,0,1,0,1
361,1,0,1,0,0,1,0,0,2,3,0,1
362,0,0,0,0,3,1,0,2,3,2,1,1
363,1,0,0,0,2,1,0,2,2,1,3,1
364,1,1,0,0,0,2,0,3,3,1,0,0
365,1,0,0,0,0,2,0,2,0,3,0,0
366,1,0,0,0,0,1,0,3,2,1,0,0
367,1,0,0,0,0,1,0,3,1,2,0,1
368,1,0,1,0,0,1,0,2,0,0,3,1
369,1,2,1,0,0,1,0,3,3,2,0,1
370,1,0,0,0,2,1,0,3,3,0,0,1
371,1,2,0,0,1,1,0,3,3,2,4,1
372,1,1,0,0,4,1,0,1,2,0,4,1
374,1,1,0,0,0,2,0,3,2,1,0,0
375,0,2,1,0,0,2,0,4,2,2,1,0
376,1,2,1,0,0,1,0,1,1,3,4,1
377,1,2,1,0,0,1,0,1,1,3,3,1
378,0,0,1,0,0,2,0,3,1,2,4,1
379,0,2,0,0,0,1,0,2,3,3,4,0
380,1,1,0,0,0,2,0,2,0,0,3,0
381,0,3,0,0,3,1,0,4,2,2,1,1
382,0,0,0,0,2,1,0,4,0,0,2,0
383,0,0,0,0,3,1,0,2,2,0,4,1
384,0,1,1,0,3,1,0,1,3,0,0,1
385,1,1,0,0,4,2,0,3,0,0,4,1
386,1,1,0,1,3,1,0,2,0,1,0,0
387,1,3,0,1,3,1,0,2,0,3,0,1
388,1,0,0,1,3,1,0,3,2,1,0,1
389,1,0,0,0,4,1,0,0,1,2,3,1
390,1,3,1,0,0,1,0,2,3,0,2,1
391,0,0,0,0,3,1,0,0,1,0,0,1
392,1,1,0,0,1,1,0,0,3,3,0,1
393,0,2,0,0,4,2,0,4,0,0,1,1
394,1,2,0,0,1,1,0,1,1,3,4,1
395,1,2,0,0,1,2,0,2,3,3,0,0
396,1,1,1,0,0,2,0,1,3,0,4,0
397,1,1,1,0,3,1,0,3,0,0,4,1
398,1,2,1,0,2,2,0,0,0,0,4,1
399,1,2,1,0,4,1,0,2,3,3,3,1
400,0,1,1,0,4,1,0,0,3,3,0,1
401,0,2,1,0,4,1,0,2,1,3,0,1
402,0,0,0,0,1,0,0,2,1,1,2,0
403,1,1,1,0,3,1,0,4,2,0,2,1
404,1,1,1,0,3,1,0,2,1,0,0,1
405,0,0,1,0,4,1,0,0,0,0,2,1
406,0,0,0,0,2,1,0,0,3,3,4,0
407,1,0,1,0,1,2,0,2,1,3,2,0
408,0,1,1,0,2,1,0,2,1,0,1,1
409,1,2,1,0,1,1,0,2,2,1,3,1
410,1,0,1,0,1,1,0,3,2,1,0,1
411,1,1,1,0,4,1,0,0,1,0,4,1
412,1,3,1,0,1,2,0,4,2,2,3,0
413,0,0,1,0,1,1,0,3,2,1,0,0
414,1,1,1,0,4,1,0,0,1,1,4,1
415,1,1,0,0,1,2,0,4,0,1,4,0
416,1,2,1,0,4,2,0,3,2,3,2,1
417,1,1,1,0,4,1,0,0,2,0,0,1
418,1,1,1,0,4,1,0,2,1,0,2,1
419,0,0,1,0,3,1,0,4,2,2,0,1
420,0,1,1,0,3,1,0,0,2,3,4,1
421,0,1,1,0,2,2,0,2,3,0,2,1
422,0,1,0,1,3,1,0,4,2,2,0,0
423,0,2,1,1,3,1,0,1,3,3,3,0
424,1,1,1,0,2,1,0,0,1,0,2,1
425,0,1,1,0,3,1,0,1,2,1,3,1
426,0,2,0,0,1,1,0,3,0,1,2,0
427,1,1,1,0,2,2,0,4,1,0,0,0
428,1,1,1,0,0,1,0,1,0,3,3,0
429,0,2,1,0,0,2,0,1,2,0,4,0
430,0,0,1,1,2,1,0,0,3,3,4,0
431,1,3,1,0,2,1,0,4,2,2,0,1
432,1,1,1,0,1,1,0,0,0,0,3,1
433,0,1,1,0,4,1,0,0,2,0,4,1
434,1,2,1,0,0,1,0,3,3,1,4,1
435,0,0,1,0,3,2,0,3,2,0,4,0
436,1,2,1,0,4,1,0,2,3,2,4,1
437,1,1,1,0,2,1,0,1,2,3,2,1
438,1,0,1,0,2,1,0,3,1,1,4,1
439,1,1,1,1,2,1,0,4,2,2,0,0
440,0,3,1,0,4,1,0,2,3,2,4,1
441,1,2,1,0,2,1,0,4,1,1,0,1
442,1,3,1,0,0,1,0,2,3,3,0,1
443,1,1,1,0,1,2,0,2,1,2,3,1
444,1,0,1,0,2,1,0,2,3,0,0,1
445,0,1,1,0,0,1,0,0,1,0,0,1
446,0,1,1,1,1,1,0,0,3,3,0,1
447,0,1,1,0,3,1,0,1,1,0,4,1
448,1,0,1,0,2,1,0,0,0,3,4,1
449,1,0,1,0,3,1,0,1,1,0,1,1
450,1,1,1,0,4,1,0,4,1,2,2,1
451,1,0,1,0,3,2,0,0,0,2,4,1
452,1,0,1,0,2,1,0,4,1,1,1,1
453,0,0,0,0,4,2,0,2,3,3,4,0
454,0,0,1,0,2,1,0,4,1,2,0,1
455,0,2,1,1,4,1,0,1,1,1,0,1
456,1,0,1,0,2,1,0,3,3,0,0,1
457,0,0,1,0,2,2,0,2,3,2,1,1
458,0,0,1,1,4,1,0,2,1,2,0,0
459,0,1,1,0,1,1,0,4,1,3,1,1
460,0,0,1,0,4,1,0,2,1,2,0,1
461,1,0,0,0,3,1,0,0,3,3,4,0
462,1,0,1,0,1,1,0,2,1,2,0,1
463,1,0,1,0,2,1,0,4,1,3,4,1
464,1,2,0,0,4,1,0,0,0,0,3,1
465,1,0,0,0,4,1,0,4,1,2,4,1
466,1,2,0,0,4,1,0,1,1,1,4,1
467,0,2,0,0,3,2,0,3,3,0,3,1
468,1,2,0,0,1,1,0,2,1,2,1,1
469,0,2,0,0,2,1,0,2,1,2,0,1
470,1,0,0,0,3,2,0,1,0,1,4,1
471,0,2,0,1,2,1,0,4,0,2,3,0
472,1,1,0,0,1,1,0,0,3,3,3,1
473,1,3,0,0,1,1,0,2,1,2,0,1
474,1,0,0,0,3,1,0,3,3,2,4,1
475,1,0,0,0,0,1,1,4,0,0,0,0
476,1,1,0,0,0,2,0,4,1,1,0,0
477,1,1,0,0,0,2,0,2,0,1,0,0
478,1,1,0,0,0,1,0,3,1,2,3,0
479,1,3,0,0,2,1,0,3,2,2,0,1
480,1,0,0,0,0,2,0,3,3,0,0,0
481,1,0,0,0,1,1,0,4,3,3,2,1
482,1,3,1,0,0,1,0,2,2,2,0,1
483,1,0,1,0,1,1,0,2,2,1,2,1
484,1,1,1,0,0,1,0,2,0,1,0,1
485,0,2,1,0,0,2,0,3,0,0,0,0
486,0,2,1,0,0,1,1,4,0,0,1,0
487,1,2,1,0,0,1,0,4,1,1,3,0
488,0,1,0,0,1,1,0,2,0,1,4,1
489,0,1,0,0,0,1,0,3,0,0,4,1
490,0,2,0,0,1,1,0,4,1,2,4,1
491,1,2,0,1,3,1,0,1,2,3,3,1
492,0,1,0,0,3,1,0,0,3,0,3,1
493,1,2,0,1,4,2,0,1,3,3,4,0
494,0,0,0,0,0,1,0,3,3,0,0,1
495,0,1,0,0,3,1,0,3,2,2,1,1
496,0,1,0,0,3,1,0,3,3,0,4,1
497,0,0,0,0,4,2,0,2,2,2,4,1
498,1,0,0,0,1,1,0,2,1,0,2,1
499,1,0,1,0,1,1,0,3,0,0,0,1
500,1,1,0,0,1,1,1,4,0,0,0,0
501,1,2,1,0,2,1,0,3,3,0,3,1
502,0,0,1,0,2,1,0,2,3,2,0,1
503,1,1,1,0,4,1,0,1,2,3,0,1
504,1,3,1,0,0,1,0,3,1,1,0,1
505,1,0,1,0,1,1,0,4,2,2,0,1
506,1,1,1,0,4,2,0,2,3,2,0,1
507,1,1,1,0,0,1,0,4,1,3,0,1
508,1,2,0,0,1,1,0,3,3,2,0,0
509,1,1,1,0,3,1,0,4,1,1,0,1
510,1,1,1,0,3,1,0,2,3,1,2,1
511,1,0,0,0,4,1,1,4,0,0,0,1
512,0,1,0,0,1,1,0,4,1,2,0,1
513,0,1,0,0,1,1,0,0,1,3,4,1
514,1,1,0,0,4,1,1,4,0,0,0,1
515,1,2,1,0,4,1,0,3,3,2,4,1
516,1,1,1,1,3,1,0,4,1,1,4,0
